X1,X2
2.5832421526,-4.0562668272
0.8638039043,-2.3597291916
1.2065644148,-4.8417473657
3.5028814172,-5.2452880866
1.9420477811,-4.9090076149
3.5514540445,-1.7077919872
3.041539393,-5.1179254451
3.5390583206,-4.5961596998
2.9808695035,-2.8249987805
2.2521290507,-3.990974749
2.1218921068,-4.1564341704
3.256570452,-4.9887790488
2.661178034,-4.2361840309
2.3623449875,-5.1876122864
1.5787827727,-4.1534951957
2.7309430398,-1.7686332111
0.5652324235,-3.8872734952
3.3704445367,-2.6403661373
3.5018572068,-4.8442137038
3.0000097615,-3.4576474279
2.686491803,-3.2289882619
1.1319093454,-2.268815334
4.4676780106,-4.3356773385
3.6113407796,-3.9520294081
2.170864711,-3.9122897816
1.0003658866,-0.3810925175
-0.3756694231,-0.0744707629
0.4334963301,1.2783792303
-0.6346793052,0.5083962427
0.2161160063,-1.8586123861
-0.4193164822,-0.1323288984
-0.0395702397,0.3260034334
-2.0403230487,0.0462555231
-0.6776755773,-1.4394390267
0.52429643,0.7352795761
-0.6532502678,0.8424562816
-0.3815164818,0.0664890091
-1.098738947,1.5844870564
-2.6594494564,-0.0914526229
0.695119605,-2.0334665461
-0.1894692647,-0.0772186654
0.8247030054,1.2482129206
-0.4038922693,-1.3845186665
1.3672354239,1.2178856331
-0.4620053482,0.3508884941
0.3818662341,0.5662754414
0.2042079789,1.4066962417
-1.7379595044,1.0408239534
0.3804719702,-0.2171352687
1.1735314985,-2.343603191
